id,breed
20030cc0f391fcf7f7141da5136f12c2,pekinese
200a51e8f11ebbb884fc6cf01973586b,borzoi
200c04a24faf943612206e10715301fa,keeshond
201a8f529b0243eec23d94c406ca98cc,pug
201ae96c80f070595f632e2b092d7777,miniature_poodle
201c8fbfb1fce7829a37109d787eedaa,standard_poodle
201fe1c7b5c0c513c42d1a1ba350d4df,french_bulldog
202bb947018debda922ef6af3ccebf00,bluetick
202c3ed2fa2c50b736fb3c4cc8fe903c,samoyed
202d6a18246367a631ae85ad77727df4,great_pyrenees
202d6e58dc961b63c647cb8991294c6f,samoyed
203101fda989b54e195270a84fd1c114,standard_poodle
203581bbee6e5dc08c511d236aae6ec4,black-and-tan_coonhound
2036b98e51c7e6c76119ca7eead626ac,brittany_spaniel
203a82da35da69a6517e0dce4d072071,golden_retriever
20430175869defec1722d3432f42ebd7,affenpinscher
204306ee0a351c894017995a256749f2,kerry_blue_terrier
204afa07ab86787636e985188cb82b36,cairn
204b3f0122be057881d4cc6794bf48a6,redbone
204f7f0385120edfc182c04dc47cb295,sealyham_terrier
20539c9fd72a07a186748e78e51cf5d4,malinois
205cbf889d8ce64e6f61ae2563fbb9f8,chihuahua
205d07a4d180e8fad81b27f02436571c,french_bulldog
206b5cac90b6671681e41721d85b28fa,english_foxhound
206b7ea4d79d94742ce9731aad96d031,great_pyrenees
2071036a0cb133584c9b917b1a7e90d7,maltese_dog
20835ebd92c1401aca05f86e22799305,curly-coated_retriever
20898ac13cbf93d1c4465a32ab96bfb3,malamute
2090b25cc76e68a9974e9984d213ec03,staffordshire_bullterrier
209437e99c6add26a2004fc425852693,giant_schnauzer
20963bd7d0202c45005f5f0a052858a5,great_dane
209d8e99fc9bbdefe264bd4c71200b4b,chihuahua
209fae9c9a2ec63321399a9b14ae28ec,briard
20a139198997995cf225389a269a02a1,clumber
20a9238dd34f189ec7de945e006e660b,beagle
20b56b811f633f8391e81d59c00e758f,shetland_sheepdog
20b7775d5e4cf1bff4ea2f382612bd18,great_pyrenees
20b9d84a4255af601e26e11eb9f9855a,walker_hound
20be3ce1dd7db9194c856726c2f154a3,boston_bull
20bf4cd949afa66f38a99b9c815a1102,samoyed
20bfa7dbc9f7b226f94f0addd0b4d141,border_collie
20c02abd77c1f320455c86bc7c022585,cardigan
20c283ef7832a436eb919800f2be1718,great_pyrenees
20c5b5fc9d16d9a16e77a5647c383f94,airedale
20c98bf7b5842a48b2d491e591736afb,bernese_mountain_dog
